,T1,T2,T3,T4,T5,E,STD
R^2,0.22658600286179897,0.23655530558464388,0.346136341442448,0.12548633855386337,0.43953583607645796,0.27485996490384246,0.12073583455697051
RMSE,73.89332334856373,75.15852339188591,36.58561506373339,125.76969934799345,46.34526302809644,71.5504848360546,34.6989747016805
R^2-train,0.29490503677261837,0.2947998689644994,0.3078350256825101,0.40196800606084315,0.27810985722638404,0.315523558941371,0.04946245000038585
RMSE-train,74.6028367855018,74.21270541277643,79.45055973106207,55.297894999807156,79.27704748545158,72.5682088829198,9.968488974659778
Page Likes,-4.191359137326494,-7.44237389236107,-10.522561370821839,-5.417261338115268,-9.523058411844296,-7.419322830093793,2.668535366523268
Page Category,-1.5636660208811959,-1.2041985715007735,-3.4055373127440336,-0.7515794340658432,-1.6114751129530411,-1.7072912904289772,1.0099920725504885
Page Checkin,-5.470894790606375,-8.857798100234646,-10.220860561926854,0.10953810914178129,-9.373427388437104,-6.7626885464126385,4.244426502647616
Page Talking About,-3.5639663969845667,-3.866790022857969,-6.213651607782491,-4.864132895877399,-8.050973864756344,-5.311902957651753,1.8479577717581994
Comments Total @Min,-3.0572543041257814,-2.660926722060184,-5.7840677202247806,-3.6064098675921223,-5.970723027079825,-4.215876328216539,1.5548660567312655
Comments Total @Max,4.548913276397051,8.03840802481224,9.476646154347646,12.169306414522582,8.549029375420684,8.55646064910004,2.749011894236636
Comments Total @Med,9.366851410251808,9.528141813007634,4.936729091387865,4.476552721360535,2.2352923095699158,6.108713469115552,3.215153208241016
Comments Total @Std,25.62108713718281,24.87968507788221,22.170946627212317,9.093642845267574,20.863821873012146,20.525836712111406,6.678945457502434
Comments Last 24h @Min,-0.9995522061391627,-2.0367783962290775,-3.9260567747081754,-2.9212293305770984,-4.606509664181065,-2.898025274366916,1.4424157063798742
Comments Last 24h @Max,0.6119002501585309,4.422895683178707,6.610695147189474,9.951082562671003,10.753032485004296,6.469921225640403,4.153012970488742
Comments Last 24h @Med,14.248346381861644,14.26801710639196,9.036588487196825,8.49243248041062,4.442063736449304,10.09748963846207,4.192507392107629
Comments Last 24h @Std,21.12442378795895,20.998337423945042,17.916140116956726,5.481940528566069,21.04940471140482,17.314049313766322,6.752909078670273
Comments 48h-24h @Min,2.135837915103073,1.9563313145905665,1.8826079891557812,2.056092043469822,0.7955204695227044,1.7652779463683896,0.5505871461106794
Comments 48h-24h @Max,9.75122202552253,5.481359976472127,5.5930142146114505,-2.2975746665024177,-0.4522747285289253,3.615149364314953,4.913001204310802
Comments 48h-24h @Med,2.1317947776949047,4.942272202179042,2.7217147096604792,5.222347761248402,-0.6455124279391758,2.8745234045687305,2.385032120978367
Comments 48h-24h @Std,28.100607090926882,24.09122608351666,24.2093756216041,4.1313878932694195,17.331124354529578,19.57274420876933,9.461762772878762
Comments First 24h @Min,-3.0010194056840644,-2.578793675556038,-5.771623001044931,-3.6055930038644504,-5.943539234450389,-4.1801136641199745,1.5753677885438246
Comments First 24h @Max,2.784562651071089,6.040074231178762,7.4914705990529855,11.256181813717703,8.259605093102369,7.166378877624581,3.1022649726255658
Comments First 24h @Med,9.559614841892405,9.60205228554777,5.074676451518587,4.6512435764054425,2.3799616037116573,6.253509751815172,3.205633637413879
Comments First 24h @Std,25.50509944892271,24.71495399331956,22.094307258989318,9.858714979989166,21.855403284273926,20.805695793098938,6.323873193028315
Comments Diff C2C3 @Min,-1.5549413960358296,-0.058577633268743164,2.5819706486629364,6.771847909061848,2.18200094592868,1.9844600948697786,3.1629293939964995
Comments Diff C2C3 @Max,-4.220422952285002,2.38014742468643,2.579348151920953,7.153634575984662,6.894766284518293,2.9574946969650675,4.612714057369167
Comments Diff C2C3 @Med,-4.593130865393748,-10.409568234532541,-13.507299306613152,-5.58194204000051,-4.223349541037617,-7.663057997515514,4.101388955333581
Comments Diff C2C3 @Std,21.850089455199413,21.971916130912884,18.236335329444177,4.665621073385478,18.426118457723785,17.03001608933315,7.140344097376868
Comments Total,29.496748372632435,31.44517509983697,39.52872900968456,40.71041882016066,33.83234511977403,35.00268328441773,4.93467856118779
Comments Last 24h,40.08460006496352,33.981091134121144,51.28105562385627,50.09499530548859,44.58368855749421,44.00508613718475,7.180045147383805
Comments 48h-24h,4.007776216493441,-0.5014324392100739,-0.9006929994238903,8.291780344522028,-5.6811384594743135,1.0432585325814383,5.308294599499305
Comments First 24h,30.619190444117073,31.519851735212992,40.749504452873964,41.85331259551412,35.25825315519308,36.000022476582245,5.1573755248935464
Comments Diff C2C3,13.862190255119678,16.540821361419667,21.589115250024992,20.408999511669954,22.808549327887626,19.041935141224382,3.7292660523030836
Base time,-23.452693438947694,-25.301250413777463,-27.40823035658378,-19.94058662541217,-28.175874515946937,-24.85572707013361,3.31150464670467
Post Length,-2.881365569832101,-1.2594514604762823,-1.8771824348591895,-0.9026763056058672,0.13900415185349488,-1.356334323783989,1.123413559159704
Post Share Count,7.079692292341283,6.463102818642045,5.099926684516832,2.51047594029593,5.012123288840711,5.23306420492736,1.7608277620842279
Post Promotion Status,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0
Target Hours,7.14583661754578,4.401037044421062,7.870129486038101,6.015929256539772,10.682516792467078,7.223089839402358,2.3352452686321445
Post published @Sun,14.63485580863303,14.35510148720212,16.4749054634226,6.536227974934944,15.2125431023787,13.44272676731428,3.945873868827323
Post published @Mon,-0.9286506146573684,6.374841164821483,1.550942522929881,1.3217320457319386,3.634437297135536,2.3906604831922937,2.751646638300268
Post published @Tue,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0
Post published @Wed,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0
Post published @Thu,-0.01999620173213244,-0.447075460983947,-1.4353433652244574,-0.5506470179792397,-4.390896943098925,-1.3687917978037403,1.7660492679029745
Post published @Fri,-5.312166410300941,-2.5805692372687834,-6.443209434055304,-7.022582185754429,-7.273133328613854,-5.726332119198662,1.9140355694712627
Base date/time @Sun,-4.675679227503829,-2.54963074836897,-7.311684888606465,-9.509438839277392,-3.6398771440184494,-5.537262169555021,2.837036309751552
Base date/time @Mon,-9.203047891938827,-6.060786371669374,-5.223404054941836,-4.308509793454412,-4.21722954042732,-5.802595530486353,2.0439471036673176
Base date/time @Tue,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0
Base date/time @Wed,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0
Base date/time @Thu,4.974486842601591,11.109377150178169,4.229611027166535,3.9351160770950036,4.193749750885232,5.688468169585306,3.0550251383819007
Base date/time @Fri,-9.388444089675392,-7.595061847376107,-9.090885674494386,-7.293285474067661,-6.750656846921004,-8.02366678650691,1.1553448190706284
